DIASEMANA,DESAYUNO,COLACION,COMIDA,COLACION 2,CENA
LUNES,"DESAYUNO
4 claras con jamón, ½ aguacate","COLACIÓN
3 rollitos de jamón con ¼ de aguacate
 
2 salchichas de pavo
 
 ","COMIDA
Salmón asado, consomè sin verduras, ¼ de aguacate","COLACIÓN
Chicharron
 ","CENA
2 a 3 cucharadas de mayonesa light con pollo deshebrado"
MARTES,"Licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," 
2 guayabas, 1/3 de medida de proteína
 
40 g de cacahuates NO japoneses
 
 
 "," 
Pescado asado (2 pz), sopa de verduras"," 
Igual que la primera media mañana
 
 "," 
Licuado igual al desayuno"
MIERCOLES,"Licuado de 1  taza de moras con 4 cucharadas de chia, ½   medida de proteína, 4 almendras y agua"," 
1 taza de melón o fresas, 1 rebanada de panela, 4 almendras
 
Pepino
 
 ","Sopa de verduras, fajitas de pollo con verduras"," 
Pepino , 2 rollitos de jamón, 4 almendras
 
 ","Ensalada o verduras asadas con pollo, aceite de oliva y vinagre de manzana"
JUEVES,"2 quesadillas de panela con tortilla de nopal, jitomate"," 
1/3 de medida de proteina, ½ manzana verde, 4 almendras
 
 ","Guisado de res con verduras, sopa de verduras"," 
½ manzana verde, 1 rebanada de panela, 4 almendras
 ","Sopa de verduras con pollo deshebrado, ¼ de aguacate"
VIERNES,"Licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," 
2 guayabas, 1/3 de medida de proteína
 
40 g de cacahuates NO japoneses
 
 
 "," 
Pescado asado (2 pz), sopa de verduras"," 
Igual que la primera media mañana
 
 "," 
Licuado igual al desayuno"
SABADO,"Omelette de 1 huevo + 2 claras con requesón o panela, ¼ de aguacate","3 rollitos de jamòn, ¼ de aguacate
 
 ",200 a 300 g de corte de carne con chimichurri SIN limón," 
Gelatina light",¼ de aguacate con 1 lata chica de atun y 1 cucharada de mayonesa light
DOMINGO,2 huevos + 2 claras a la mexicana,"Igual al miercoles
 ","Fajitas de res o pollo con verduras, guacamole"," 
Gelatina light","Licuado de ½ manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua
 "
LUNES,"DESAYUNO
Licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua","MEDIA MAÑANA
3 rollitos de jamón con panela, 2 guayabas
 
 
Pepino
 ","COMIDA
Ensalada grande o verduras asadas con pollo o cangrejo o pescado sin aderezo","MEDIA TARDE
3 rollitos de jamón con panela","CENA
Licuado igual al desayuno"
MARTES,"4 claras con tocino de pavo o salchicha, ¼ de aguacate"," 
3 rollitos de jamon, ¼ de aguacate
 
 
 
3 rollitos de jamon con ¼ de aguacate
 
 "," 
Pescado frito o al mojo de ajo, consomé sin verduras, ¼ de aguacate"," 
1 a 2 salchichas de pavo"," 
Pollo asado o carne asada, ¼ de aguacate"
MIERCOLES,"DESAYUNO
Licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua","MEDIA MAÑANA
3 rollitos de jamón con panela, 2 guayabas
 
 
Pepino
 ","COMIDA
Ensalada grande o verduras asadas con pollo o cangrejo o pescado sin aderezo","MEDIA TARDE
3 rollitos de jamón con panela","CENA
Licuado igual al desayuno"
JUEVES,4 claras a la mexicana," 
1 taza de melón, 1 rebanada de panela
 
 
 
40 g de cacahuates NO japoneses
 
 
 "," 
Pescado al gusto (2 pz), sopa de verduras"," 
Igual que la primera media mañana"," 
Verduras asadas con pollo deshebrado"
VIERNES,1 huevo + 2 claras con queso de cabra o queso panela," 
Chicharron
 
 
 
 
1 a 2 salchichas de pavo
 
 
 
 "," 
1 pz de salmón asado, consomé sin verduras, ¼ de aguacate"," 
3 rollitos de jamón con ¼ de aguacate"," 
Pollo o pescado o atun, ¼ de aguacate"
SABADO,2 quesadillas de panela con tortilla de nopal," 
½ manzana verde, 1/3 de medida de proteína"," 
Fajitas de pollo con jitomate y pimiento , guacamole"," 
Igual que a media mañana"," 
Ensalada de atùn con 2 cucharadas de mayonesa light"
DOMINGO,1 huevo + 2 claras con queso de cabra o queso panela," 
Chicharron
 
 
 
 
1 a 2 salchichas de pavo
 
 
 
 "," 
1 pz de salmón asado, consomé sin verduras, ¼ de aguacate"," 
3 rollitos de jamón con ¼ de aguacate"," 
Pollo o pescado o atun, ¼ de aguacate"
LUNES,"DESAYUNO
3 nopales asados con 3 rebanadas de panela en salsa de jitomate","MEDIA MAÑANA
2 guayabas o ciruelas, 1/3 de medida de proteína","COMIDA
Fajitas de res con verduras, sopa de verduras","MEDIA TARDE
1 taza de jicama, 1/3 de medida de proteína, 4 almendras","CENA
Salmón asado con verduras asadas"
MARTES," 
Licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de medida de proteina, 4 almendras y agua"," 
1 naranja, 1/3 de medida de proteína, 4 almendras"," 
Guisado de 2 pz de pollo sin piel, sopa de verduras o ensalada sin aderezo"," 
Igual que a media mañana"," 
Igual al desayuno"
MIERCOLES,"DESAYUNO
3 nopales asados con 3 rebanadas de panela en salsa de jitomate","MEDIA MAÑANA
2 guayabas o ciruelas, 1/3 de medida de proteína","COMIDA
Fajitas de res con verduras, sopa de verduras","MEDIA TARDE
1 taza de jicama, 1/3 de medida de proteína, 4 almendras","CENA
Salmón asado con verduras asadas"
JUEVES," 
Licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de medida de proteina, 4 almendras y agua"," 
1 naranja, 1/3 de medida de proteína, 4 almendras"," 
Guisado de 2 pz de pollo sin piel, sopa de verduras o ensalada sin aderezo"," 
Igual que a media mañana"," 
Igual al desayuno"
VIERNES," 
4 claras  con chorizo de pavo, ¼ de aguacate"," 
Chicharron
 
 "," 
2 pz de pescado blanco asado, ½  aguacate, consomé sin verduras"," 
3 rollitos de jamón con ¼ de aguacate","Pollo deshebrado, consomé sin verduras, ¼ de aguacate
 
 "
SABADO," 
2 quesadillas de panela con tortilla de nopal, jitomate"," 
1 taza de jicama, 1/3 de medida de proteína, 4 almendras"," 
2 pz de pollo asado, ensalada con vinagre de manzana,  sopa de verduras"," 
2 guayabas, 1/3 de medida de proteina"," 
Fajitas de res con nopales"
DOMINGO," 
2 huevos + 2 claras estrellados, ¼ de aguacate"," 
1 salchicha de pavo"," 
300 g de corte de carne, jugo de carne SIN limón"," 
Igual que a media mañana"," 
Pollo en consomé sin verduras"
LUNES,"DESAYUNO
Licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de   medida de proteína, 4 almendras y agua","MEDIA MAÑANA
2 guayabas o ciruelas, 1/3 de medida de proteína","COMIDA
Sopa de  verduras,  guisado de 2 pz de  pollo sin piel, ensalada sin aderezo","MEDIA TARDE
Igual que a media mañana","CENA
Fajitas de pollo con pimiento o nopales"
MARTES,"4 claras con salchichas de pavo, ¼ de aguacate"," 
3 rollitos de jamón con ¼ de aguacate"," 
Arrachera o pollo asado, consomé o jugo de carne SIN limón, ¼ de aguacate"," 
2 salchichas de pavo"," 
Salmón asado, ½ aguacate"
MIERCOLES,"DESAYUNO
Licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de   medida de proteína, 4 almendras y agua","MEDIA MAÑANA
2 guayabas o ciruelas, 1/3 de medida de proteína","COMIDA
Sopa de  verduras,  guisado de 2 pz de  pollo sin piel, ensalada sin aderezo","MEDIA TARDE
Igual que a media mañana","CENA
Fajitas de pollo con pimiento o nopales"
JUEVES,"Licuado de 1 taza de fresas con 2 cucharadas de avena, ½   medida de proteína, 6 almendras y agua"," 
1 naranja, 1/3 de medida de proteína, 4 almendras"," 
2 pz de pescado blanco asado, sopa de verduras, ensalada con 3 cucharadas de aderezo light"," 
2 rebanadas de panela, 4 almendras, 1 taza de jicama"," 
Igual al desayuno"
VIERNES,"DESAYUNO
Licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de   medida de proteína, 4 almendras y agua","MEDIA MAÑANA
2 guayabas o ciruelas, 1/3 de medida de proteína","COMIDA
Sopa de  verduras,  guisado de 2 pz de  pollo sin piel, ensalada sin aderezo","MEDIA TARDE
Igual que a media mañana","CENA
Fajitas de pollo con pimiento o nopales"
SABADO,"4 claras con salchichas de pavo, ¼ de aguacate"," 
3 rollitos de jamón con ¼ de aguacate"," 
Arrachera o pollo asado, consomé o jugo de carne SIN limón, ¼ de aguacate"," 
2 salchichas de pavo"," 
Salmón asado, ½ aguacate"
DOMINGO,"Licuado de 1 taza de fresas con 2 cucharadas de avena, ½   medida de proteína, 6 almendras y agua"," 
1 naranja, 1/3 de medida de proteína, 4 almendras"," 
2 pz de pescado blanco asado, sopa de verduras, ensalada con 3 cucharadas de aderezo light"," 
2 rebanadas de panela, 4 almendras, 1 taza de jicama"," 
Igual al desayuno"
LUNES,"DESAYUNO
5 claras con nopales, 2 tortillas de nopal","MEDIA MAÑANA
3 rollitos de jamón, 4 almendras, 1 guayaba
 
 ","COMIDA
Sopa de espinaca con limón, guisado de 2 pz de pollo con verduras","MEDIA TARDE
1 manzana verde, ½ medida de proteina","CENA
Sopa de verduras con pollo deshebrado, ¼ de aguacate
 "
MARTES," 
Licuado de 1 taza de piña con 2 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," 
Jicama y pepino, 3 rollitos de jamón con panela, 6 almendras"," 
Sopa de verduras, 2 pz de pollo asado, ensalada con aceite de oliva"," 
2 naranjas, ½ medida de proteína, 4 almendras
 
 "," 
Licuado de 1  taza de moras o fresas con 1 cucharadita de chia, 1 cucharada de avena, ½  medida de proteína, 6 almendras y agua
 "
MIERCOLES," 
5 claras con jamón, ½ aguacate"," 
3 rollitos de jamón, ¼ de aguacate, gelatina light
 
 "," 
Salmòn asado o pescado asado, caldo de pollo sin verduras, ½ aguacate"," 
Igual que a media mañana"," 
Consomé con pollo sin verduras o atun, ½ aguacate"
JUEVES," 
5 claras con espinaca y cottage o panela, 1 taza de piña"," 
Igual al martes
 
 "," 
Guisado de res sin picante, 2 nopales asados, sopa de acelga o espinaca con limón"," 
Igual al lunes"," 
Sopa de verduras con pollo deshebrado, ¼ de aguacate"
VIERNES," 
Igual al martes"," 
Igual al martes
 
 
 "," 
Carne asada, consomé con verduras, guacamole"," 
1 naranja, 1/3 de medida de proteína"," 
Ensalada de pollo con vinagreta"
SABADO," 
2 taquitos de pollo con tortilla de nopal SIN grasa"," 
Igual al lunes
 
 
 
 "," 
Picadillo de res, sopa de verduras, 2 tortillas tostadas de nopal"," 
Gelatina light"," 
Nopales asados con pollo deshebrado en salsa de jitomate"
DOMINGO," 
Omelette de 5 claras con verduras, ½ taza de frijoles"," 
Pepino"," 
Guisado de res con verduras asadas, sopa de verduras"," 
1 naranja, 1/3 de medida de proteína, 4 almendras"," 
Licuado de 3 tallos de apio con, 1 taza de piña, 1 cucharadita de chia,  ½    medida de proteína, 4 almendras y agua
 "
"LUNES
 ","DESAYUNO
Licuado de ½ manzana con 2 cucharadas de avena, 1/3 de medida de proteína, 4 almendras y agua","MEDIA MAÑANA
2 guayabas, 1/3 de medida de proteína, 4 almendras
 ","COMIDA
Sopa de verduras, 2 pz de pollo a la plancha o pescado asado, jitomate con aceite de oliva","MEDIA TARDE
Igual que a media mañana","CENA
Sopa de verduras con pollo deshebrado, ¼ de aguacate"
MARTES," 
Queso panela asado con verduras o nopales, 1 taza de piña"," 
½ manzana verde, 1/3 de medida de proteína
 "," 
Consomé de pollo, fajitas de pollo con nopales"," 
Igual que a media mañana"," 
Pescado o pollo asado, verduras asadas"
MIERCOLES," 
4 claras con salchicha de pavo, ¼ de aguacate"," 
Chicharron
 
 "," 
2 pz de carne o pollo o pescado asado, consomé sin verduras"," 
3 rollitos de jamón, ¼ de aguacate, gelatina light"," 
Atun o pollo con 2 cucharadas de mayonesa light"
JUEVES," 
Queso panela asado con verduras o nopales, 1 taza de piña"," 
½ manzana verde, 1/3 de medida de proteína
 "," 
Consomé de pollo, fajitas de pollo con nopales"," 
Igual que a media mañana"," 
Pescado o pollo asado, verduras asadas"
VIERNES," 
2 huevos + 2 claras con jamón, ¼ de aguacate"," 
 
3 rollitos de jamón, ¼ de aguacate,  gelatina light
 
 
 "," 
Salmòn o pescado asado, consomè sin verduras, ¼ de aguacate"," 
Chicharron"," 
Pollo deshebrado con 2 cucharadas de mayonesa light"
SABADO," 
Omelette de 4 claras con verduras y queso panela, 1 taza de piña"," 
 
Igual al lunes
 
 
 "," 
Guisado de pollo con verduras, sopa de verduras"," 
Pepino, 2 rebanadas de panela, 4 almendras"," 
Sopa de verduras con pollo deshebrado, ¼ de aguacate"
DOMINGO," 
2 huevos + 2 claras con jamón, ¼ de aguacate"," 
 
3 rollitos de jamón, ¼ de aguacate,  gelatina light
 
 
 "," 
Salmòn o pescado asado, consomè sin verduras, ¼ de aguacate"," 
Chicharron"," 
Pollo deshebrado con 2 cucharadas de mayonesa light"
"LUNES
 ","6 claras con espinaca, ¼ de aguacate","1 naranja, 1/3 de medida de proteína, 4 almendras","2 pz de pollo asado con verduras, sopa de verduras",Igual que a media mañana,medallon de atun asado con nopales
MARTES," 
2 huevos + 2 claras con jamón, ¼ de aguacate"," 
2 salchichas de pavo
 
 
 
 
 
 "," 
2 pz de pescado asado, ½      aguacate, consomé sin verduras (opcional)"," 
Igual que a media mañana"," 
pz de carne asada (delgada) con ¼ de aguacate

 

 

 "
MIERCOLES," 
1  taza de all bran con leche de almendras SIN endulzante, 2/3 de medida de proteina
 ","1 taza de jicama, 1/3 de medida de proteína"," 
Guisado de res, ensalada con 2 cucharadas de aderezo NO dulce"," 
1 taza de fresas con 3 cucharadas de cottage"," 
Ensalada de lechuga y jitomate con pollo deshebrado y aceite de oliva
 
 "
JUEVES," 
2 huevos + 2 claras con jamón, ¼ de aguacate"," 
2 salchichas de pavo
 
 
 
 
 
 "," 
2 pz de pescado asado, ½      aguacate, consomé sin verduras (opcional)"," 
Igual que a media mañana"," 
pz de carne asada (delgada) con ¼ de aguacate

 

 

 "
VIERNES," 
1  taza de all bran con leche de almendras SIN endulzante, 2/3 de medida de proteina
 "," 
1 taza de jicama, 1/3 de medida de proteína"," 
Guisado de res, ensalada con 2 cucharadas de aderezo NO dulce"," 
1 taza de fresas con 3 cucharadas de cottage"," 
Ensalada de lechuga y jitomate con pollo deshebrado y aceite de oliva
 
 "
SABADO," 
2 taquitos de pollo con tortilla de nopal SIN grasa"," 
1 taza de jicama, 1/3 de medida de proteína, 4 almendras"," 
Arrachera con nopales"," 
1 taza de jicama, 1/3 de medida de proteína, 4 almendras"," 
Fajitas de pollo con verduras
 
 
 "
DOMINGO," 
Licuado de 1 taza de fresas con 2 cucharadas de avena, ½ medida de proteína, 6 almendras y agua"," 
½ barra Zone"," 
Tepanyaki de pescado sin arroz"," 
Igual que a media mañana","Ensalada con pollo, aceite de oliva y vinagre de manzana"
"LUNES
 ","DESAYUNO
Licuado de 3 tallos de apio, ½ taza de piña,1/3 de   medida de proteína, 4 almendras y agua","REFRIGERIO
1  taza de moras con 3 cucharadas de cottage y 4 almendras
 
 ","COMIDA
2 pz de pescado blanco asado con verduras o guisado de pollo con verduras","REFRIGERIO
Apio y pepino, 1 rebanada de panela","CENA
Fajitas de pollo con verduras
 
 "
MARTES," 
6 claras con jamòn, ¼ de aguacate"," 
2 salchichas de pavo
 
 
 
 
 "," 
Arrachera o pollo asado, jugo de carne SIN limón, ¼ de aguacate"," 
Igual que a media mañana"," 
1 pz de pescado asado, ½ aguacate
 "
MIERCOLES,"DESAYUNO
Licuado de 3 tallos de apio, ½ taza de piña,1/3 de   medida de proteína, 4 almendras y agua","REFRIGERIO
1  taza de moras con 3 cucharadas de cottage y 4 almendras
 
 ","COMIDA
2 pz de pescado blanco asado con verduras o guisado de pollo con verduras","REFRIGERIO
Apio y pepino, 1 rebanada de panela","CENA
Fajitas de pollo con verduras
 
 "
JUEVES," 
6 claras con jamòn, ¼ de aguacate"," 
2 salchichas de pavo
 
 
 
 
 "," 
Arrachera o pollo asado, jugo de carne SIN limón, ¼ de aguacate"," 
Igual que a media mañana"," 
1 pz de pescado asado, ½ aguacate
 "
VIERNES," 
2 quesadillas de queso oaxaca con tortilla de nopal"," 
Pepino, 3 rollitos de jamón, 4 almendras
 
 
 
 "," 
Guisado de res, ensalada sin aderezo"," 
1 /3 de medida de proteína, 1 naranja a gajos, 4 almendras"," 
Licuado de 1 taza de moras con 1 cucharadita de chia, 1/3 de medida de proteína, 4 nueces y agua
 "
SABADO," 
5 claras con nopales, ½ manzana verde"," 
½ manzana verde, 1/3 de medida de proteína"," 
Salmón asado o pollo asado, ensalada con aceite de oliva"," 
1 taza de piña, 1/3 de medida de proteína"," 
Ensalada con pollo y vinagreta
 
 
 "
DOMINGO," 
2 huevos + 2 claras con jamón"," 
60 g de cacahuates NO japoneses"," 
Guisado de pollo sin piel o de res, sopa de verduras, ensalada con vinagre de manzana y aceite de oliva"," 
Pepino"," 
Fajitas de res con verduras"
