"","DIASEMANA","DESAYUNO","COLACION","COMIDA","COLACION.2","CENA"
"1","lunes","4 claras con jamón, ½ aguacate","colación3 rollitos de jamón con ¼ de aguacate 2 salchichas de pavo  ","salmón asado, consomè sin verduras, ¼ de aguacate","colaciónchicharron ","2 a 3 cucharadas de mayonesa light con pollo deshebrado"
"2","martes","licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," 2 guayabas, 1/3 de medida de proteína 40 g de cacahuates no japoneses   "," pescado asado (2 pz), sopa de verduras"," 2 guayabas, 1/3 de medida de proteína 40 g de cacahuates no japoneses   ","licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"
"3","miercoles","licuado de 1  taza de moras con 4 cucharadas de chia, ½   medida de proteína, 4 almendras y agua"," 1 taza de melón o fresas, 1 rebanada de panela, 4 almendras pepino  ","sopa de verduras, fajitas de pollo con verduras"," pepino , 2 rollitos de jamón, 4 almendras  ","ensalada o verduras asadas con pollo, aceite de oliva y vinagre de manzana"
"4","jueves","2 quesadillas de panela con tortilla de nopal, jitomate"," 1/3 de medida de proteina, ½ manzana verde, 4 almendras  ","guisado de res con verduras, sopa de verduras"," ½ manzana verde, 1 rebanada de panela, 4 almendras ","sopa de verduras con pollo deshebrado, ¼ de aguacate"
"5","viernes","licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," 2 guayabas, 1/3 de medida de proteína 40 g de cacahuates no japoneses   "," pescado asado (2 pz), sopa de verduras"," 2 guayabas, 1/3 de medida de proteína 40 g de cacahuates no japoneses   ","licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"
"6","sabado","omelette de 1 huevo + 2 claras con requesón o panela, ¼ de aguacate","3 rollitos de jamòn, ¼ de aguacate  ","200 a 300 g de corte de carne con chimichurri sin limón"," gelatina light","¼ de aguacate con 1 lata chica de atun y 1 cucharada de mayonesa light"
"7","domingo","2 huevos + 2 claras a la mexicana"," 1 taza de melón o fresas, 1 rebanada de panela, 4 almendras pepino  ","fajitas de res o pollo con verduras, guacamole"," gelatina light","licuado de ½ manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua "
"8","lunes","licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua","3 rollitos de jamón con panela, 2 guayabas  pepino ","ensalada grande o verduras asadas con pollo o cangrejo o pescado sin aderezo","3 rollitos de jamón con panela","licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua"
"9","martes","4 claras con tocino de pavo o salchicha, ¼ de aguacate"," 3 rollitos de jamon, ¼ de aguacate   3 rollitos de jamon con ¼ de aguacate  "," pescado frito o al mojo de ajo, consomé sin verduras, ¼ de aguacate"," 1 a 2 salchichas de pavo"," pollo asado o carne asada, ¼ de aguacate"
"10","miercoles","licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua","3 rollitos de jamón con panela, 2 guayabas  pepino ","ensalada grande o verduras asadas con pollo o cangrejo o pescado sin aderezo","3 rollitos de jamón con panela","licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua"
"11","jueves","4 claras a la mexicana"," 1 taza de melón, 1 rebanada de panela   40 g de cacahuates no japoneses   "," pescado al gusto (2 pz), sopa de verduras"," 1 taza de melón, 1 rebanada de panela   40 g de cacahuates no japoneses   "," verduras asadas con pollo deshebrado"
"12","viernes","1 huevo + 2 claras con queso de cabra o queso panela"," chicharron    1 a 2 salchichas de pavo    "," 1 pz de salmón asado, consomé sin verduras, ¼ de aguacate"," 3 rollitos de jamón con ¼ de aguacate"," pollo o pescado o atun, ¼ de aguacate"
"13","sabado","2 quesadillas de panela con tortilla de nopal"," ½ manzana verde, 1/3 de medida de proteína"," fajitas de pollo con jitomate y pimiento , guacamole"," ½ manzana verde, 1/3 de medida de proteína"," ensalada de atùn con 2 cucharadas de mayonesa light"
"14","domingo","1 huevo + 2 claras con queso de cabra o queso panela"," chicharron    1 a 2 salchichas de pavo    "," 1 pz de salmón asado, consomé sin verduras, ¼ de aguacate"," 3 rollitos de jamón con ¼ de aguacate"," pollo o pescado o atun, ¼ de aguacate"
"15","lunes","3 nopales asados con 3 rebanadas de panela en salsa de jitomate","2 guayabas o ciruelas, 1/3 de medida de proteína","fajitas de res con verduras, sopa de verduras","1 taza de jicama, 1/3 de medida de proteína, 4 almendras","salmón asado con verduras asadas"
"16","martes"," licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de medida de proteina, 4 almendras y agua"," 1 naranja, 1/3 de medida de proteína, 4 almendras"," guisado de 2 pz de pollo sin piel, sopa de verduras o ensalada sin aderezo"," 1 naranja, 1/3 de medida de proteína, 4 almendras"," licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de medida de proteina, 4 almendras y agua"
"17","miercoles","3 nopales asados con 3 rebanadas de panela en salsa de jitomate","2 guayabas o ciruelas, 1/3 de medida de proteína","fajitas de res con verduras, sopa de verduras","1 taza de jicama, 1/3 de medida de proteína, 4 almendras","salmón asado con verduras asadas"
"18","jueves"," licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de medida de proteina, 4 almendras y agua"," 1 naranja, 1/3 de medida de proteína, 4 almendras"," guisado de 2 pz de pollo sin piel, sopa de verduras o ensalada sin aderezo"," 1 naranja, 1/3 de medida de proteína, 4 almendras"," licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de medida de proteina, 4 almendras y agua"
"19","viernes"," 4 claras  con chorizo de pavo, ¼ de aguacate"," chicharron  "," 2 pz de pescado blanco asado, ½  aguacate, consomé sin verduras"," 3 rollitos de jamón con ¼ de aguacate","pollo deshebrado, consomé sin verduras, ¼ de aguacate  "
"20","sabado"," 2 quesadillas de panela con tortilla de nopal, jitomate"," 1 taza de jicama, 1/3 de medida de proteína, 4 almendras"," 2 pz de pollo asado, ensalada con vinagre de manzana,  sopa de verduras"," 2 guayabas, 1/3 de medida de proteina"," fajitas de res con nopales"
"21","domingo"," 2 huevos + 2 claras estrellados, ¼ de aguacate"," 1 salchicha de pavo"," 300 g de corte de carne, jugo de carne sin limón"," 1 salchicha de pavo"," pollo en consomé sin verduras"
"22","lunes","licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de   medida de proteína, 4 almendras y agua","2 guayabas o ciruelas, 1/3 de medida de proteína","sopa de  verduras,  guisado de 2 pz de  pollo sin piel, ensalada sin aderezo","2 guayabas o ciruelas, 1/3 de medida de proteína","fajitas de pollo con pimiento o nopales"
"23","martes","4 claras con salchichas de pavo, ¼ de aguacate"," 3 rollitos de jamón con ¼ de aguacate"," arrachera o pollo asado, consomé o jugo de carne sin limón, ¼ de aguacate"," 2 salchichas de pavo"," salmón asado, ½ aguacate"
"24","miercoles","licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de   medida de proteína, 4 almendras y agua","2 guayabas o ciruelas, 1/3 de medida de proteína","sopa de  verduras,  guisado de 2 pz de  pollo sin piel, ensalada sin aderezo","2 guayabas o ciruelas, 1/3 de medida de proteína","fajitas de pollo con pimiento o nopales"
"25","jueves","licuado de 1 taza de fresas con 2 cucharadas de avena, ½   medida de proteína, 6 almendras y agua"," 1 naranja, 1/3 de medida de proteína, 4 almendras"," 2 pz de pescado blanco asado, sopa de verduras, ensalada con 3 cucharadas de aderezo light"," 2 rebanadas de panela, 4 almendras, 1 taza de jicama","licuado de 1 taza de fresas con 2 cucharadas de avena, ½   medida de proteína, 6 almendras y agua"
"26","viernes","licuado de 4 tallos de apio, ½  taza de piña, 2 cucharadas de chia, 1/3 de   medida de proteína, 4 almendras y agua","2 guayabas o ciruelas, 1/3 de medida de proteína","sopa de  verduras,  guisado de 2 pz de  pollo sin piel, ensalada sin aderezo","2 guayabas o ciruelas, 1/3 de medida de proteína","fajitas de pollo con pimiento o nopales"
"27","sabado","4 claras con salchichas de pavo, ¼ de aguacate"," 3 rollitos de jamón con ¼ de aguacate"," arrachera o pollo asado, consomé o jugo de carne sin limón, ¼ de aguacate"," 2 salchichas de pavo"," salmón asado, ½ aguacate"
"28","domingo","licuado de 1 taza de fresas con 2 cucharadas de avena, ½   medida de proteína, 6 almendras y agua"," 1 naranja, 1/3 de medida de proteína, 4 almendras"," 2 pz de pescado blanco asado, sopa de verduras, ensalada con 3 cucharadas de aderezo light"," 2 rebanadas de panela, 4 almendras, 1 taza de jicama","licuado de 1 taza de fresas con 2 cucharadas de avena, ½   medida de proteína, 6 almendras y agua"
"29","lunes","5 claras con nopales, 2 tortillas de nopal","3 rollitos de jamón, 4 almendras, 1 guayaba  ","sopa de espinaca con limón, guisado de 2 pz de pollo con verduras","1 manzana verde, ½ medida de proteina","sopa de verduras con pollo deshebrado, ¼ de aguacate "
"30","martes"," licuado de 1 taza de piña con 2 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," jicama y pepino, 3 rollitos de jamón con panela, 6 almendras"," sopa de verduras, 2 pz de pollo asado, ensalada con aceite de oliva"," 2 naranjas, ½ medida de proteína, 4 almendras  "," licuado de 1  taza de moras o fresas con 1 cucharadita de chia, 1 cucharada de avena, ½  medida de proteína, 6 almendras y agua "
"31","miercoles"," 5 claras con jamón, ½ aguacate"," 3 rollitos de jamón, ¼ de aguacate, gelatina light  "," salmòn asado o pescado asado, caldo de pollo sin verduras, ½ aguacate"," 3 rollitos de jamón, ¼ de aguacate, gelatina light  "," consomé con pollo sin verduras o atun, ½ aguacate"
"32","jueves"," 5 claras con espinaca y cottage o panela, 1 taza de piña"," jicama y pepino, 3 rollitos de jamón con panela, 6 almendras"," guisado de res sin picante, 2 nopales asados, sopa de acelga o espinaca con limón","1 manzana verde, ½ medida de proteina"," sopa de verduras con pollo deshebrado, ¼ de aguacate"
"33","viernes"," licuado de 1 taza de piña con 2 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," jicama y pepino, 3 rollitos de jamón con panela, 6 almendras"," carne asada, consomé con verduras, guacamole"," 1 naranja, 1/3 de medida de proteína"," ensalada de pollo con vinagreta"
"34","sabado"," 2 taquitos de pollo con tortilla de nopal sin grasa","3 rollitos de jamón, 4 almendras, 1 guayaba  "," picadillo de res, sopa de verduras, 2 tortillas tostadas de nopal"," gelatina light"," nopales asados con pollo deshebrado en salsa de jitomate"
"35","domingo"," omelette de 5 claras con verduras, ½ taza de frijoles"," pepino"," guisado de res con verduras asadas, sopa de verduras"," 1 naranja, 1/3 de medida de proteína, 4 almendras"," licuado de 3 tallos de apio con, 1 taza de piña, 1 cucharadita de chia,  ½    medida de proteína, 4 almendras y agua "
"36","lunes ","licuado de ½ manzana con 2 cucharadas de avena, 1/3 de medida de proteína, 4 almendras y agua","2 guayabas, 1/3 de medida de proteína, 4 almendras ","sopa de verduras, 2 pz de pollo a la plancha o pescado asado, jitomate con aceite de oliva","2 guayabas, 1/3 de medida de proteína, 4 almendras ","sopa de verduras con pollo deshebrado, ¼ de aguacate"
"37","martes"," queso panela asado con verduras o nopales, 1 taza de piña"," ½ manzana verde, 1/3 de medida de proteína "," consomé de pollo, fajitas de pollo con nopales"," ½ manzana verde, 1/3 de medida de proteína "," pescado o pollo asado, verduras asadas"
"38","miercoles"," 4 claras con salchicha de pavo, ¼ de aguacate"," chicharron  "," 2 pz de carne o pollo o pescado asado, consomé sin verduras"," 3 rollitos de jamón, ¼ de aguacate, gelatina light"," atun o pollo con 2 cucharadas de mayonesa light"
"39","jueves"," queso panela asado con verduras o nopales, 1 taza de piña"," ½ manzana verde, 1/3 de medida de proteína "," consomé de pollo, fajitas de pollo con nopales"," ½ manzana verde, 1/3 de medida de proteína "," pescado o pollo asado, verduras asadas"
"40","viernes"," 2 huevos + 2 claras con jamón, ¼ de aguacate","  3 rollitos de jamón, ¼ de aguacate,  gelatina light   "," salmòn o pescado asado, consomè sin verduras, ¼ de aguacate"," chicharron"," pollo deshebrado con 2 cucharadas de mayonesa light"
"41","sabado"," omelette de 4 claras con verduras y queso panela, 1 taza de piña","2 guayabas, 1/3 de medida de proteína, 4 almendras "," guisado de pollo con verduras, sopa de verduras"," pepino, 2 rebanadas de panela, 4 almendras"," sopa de verduras con pollo deshebrado, ¼ de aguacate"
"42","domingo"," 2 huevos + 2 claras con jamón, ¼ de aguacate","  3 rollitos de jamón, ¼ de aguacate,  gelatina light   "," salmòn o pescado asado, consomè sin verduras, ¼ de aguacate"," chicharron"," pollo deshebrado con 2 cucharadas de mayonesa light"
"43","lunes ","6 claras con espinaca, ¼ de aguacate","1 naranja, 1/3 de medida de proteína, 4 almendras","2 pz de pollo asado con verduras, sopa de verduras","1 naranja, 1/3 de medida de proteína, 4 almendras","medallon de atun asado con nopales"
"44","martes"," 2 huevos + 2 claras con jamón, ¼ de aguacate"," 2 salchichas de pavo      "," 2 pz de pescado asado, ½      aguacate, consomé sin verduras (opcional)"," 2 salchichas de pavo      "," pz de carne asada (delgada) con ¼ de aguacate   "
"45","miercoles"," 1  taza de all bran con leche de almendras sin endulzante, 2/3 de medida de proteina ","1 taza de jicama, 1/3 de medida de proteína"," guisado de res, ensalada con 2 cucharadas de aderezo no dulce"," 1 taza de fresas con 3 cucharadas de cottage"," ensalada de lechuga y jitomate con pollo deshebrado y aceite de oliva  "
"46","jueves"," 2 huevos + 2 claras con jamón, ¼ de aguacate"," 2 salchichas de pavo      "," 2 pz de pescado asado, ½      aguacate, consomé sin verduras (opcional)"," 2 salchichas de pavo      "," pz de carne asada (delgada) con ¼ de aguacate   "
"47","viernes"," 1  taza de all bran con leche de almendras sin endulzante, 2/3 de medida de proteina "," 1 taza de jicama, 1/3 de medida de proteína"," guisado de res, ensalada con 2 cucharadas de aderezo no dulce"," 1 taza de fresas con 3 cucharadas de cottage"," ensalada de lechuga y jitomate con pollo deshebrado y aceite de oliva  "
"48","sabado"," 2 taquitos de pollo con tortilla de nopal sin grasa"," 1 taza de jicama, 1/3 de medida de proteína, 4 almendras"," arrachera con nopales"," 1 taza de jicama, 1/3 de medida de proteína, 4 almendras"," fajitas de pollo con verduras   "
"49","domingo"," licuado de 1 taza de fresas con 2 cucharadas de avena, ½ medida de proteína, 6 almendras y agua"," ½ barra zone"," tepanyaki de pescado sin arroz"," ½ barra zone","ensalada con pollo, aceite de oliva y vinagre de manzana"
"50","lunes ","licuado de 3 tallos de apio, ½ taza de piña,1/3 de   medida de proteína, 4 almendras y agua","1  taza de moras con 3 cucharadas de cottage y 4 almendras  ","2 pz de pescado blanco asado con verduras o guisado de pollo con verduras","apio y pepino, 1 rebanada de panela","fajitas de pollo con verduras  "
"51","martes"," 6 claras con jamòn, ¼ de aguacate"," 2 salchichas de pavo     "," arrachera o pollo asado, jugo de carne sin limón, ¼ de aguacate"," 2 salchichas de pavo     "," 1 pz de pescado asado, ½ aguacate "
"52","miercoles","licuado de 3 tallos de apio, ½ taza de piña,1/3 de   medida de proteína, 4 almendras y agua","1  taza de moras con 3 cucharadas de cottage y 4 almendras  ","2 pz de pescado blanco asado con verduras o guisado de pollo con verduras","apio y pepino, 1 rebanada de panela","fajitas de pollo con verduras  "
"53","jueves"," 6 claras con jamòn, ¼ de aguacate"," 2 salchichas de pavo     "," arrachera o pollo asado, jugo de carne sin limón, ¼ de aguacate"," 2 salchichas de pavo     "," 1 pz de pescado asado, ½ aguacate "
"54","viernes"," 2 quesadillas de queso oaxaca con tortilla de nopal"," pepino, 3 rollitos de jamón, 4 almendras    "," guisado de res, ensalada sin aderezo"," 1 /3 de medida de proteína, 1 naranja a gajos, 4 almendras"," licuado de 1 taza de moras con 1 cucharadita de chia, 1/3 de medida de proteína, 4 nueces y agua "
"55","sabado"," 5 claras con nopales, ½ manzana verde"," ½ manzana verde, 1/3 de medida de proteína"," salmón asado o pollo asado, ensalada con aceite de oliva"," 1 taza de piña, 1/3 de medida de proteína"," ensalada con pollo y vinagreta   "
"56","domingo"," 2 huevos + 2 claras con jamón"," 60 g de cacahuates no japoneses"," guisado de pollo sin piel o de res, sopa de verduras, ensalada con vinagre de manzana y aceite de oliva"," pepino"," fajitas de res con verduras"
